Case #1: Impossible
44 36 14483
38 23 14588
25 47 14777
47 44 15672
36 25 15966
29 15 17942
21 44 18739
21 25 20222
27 10 20822
20 36 20847
48 47 21367
42 47 21464
20 47 22036
38 15 22278
48 36 22556
14 30 23020
40 47 23786
3 6 24342
20 21 25103
39 40 25104
29 23 25632
48 21 26812
34 22 27315
5 35 29982
8 9 35538
15 24 35885
14 12 37430
49 14 37830
18 38 38052
35 42 39544
26 44 39897
21 35 41096
48 43 42794
42 40 42872
20 40 43444
17 6 48593
18 4 48748
35 25 50428
11 43 51128
44 35 51323
30 28 51674
46 1 53649
14 45 53828
37 25 55518
35 20 57687
22 19 59255
40 35 59437
20 37 60399
36 12 61619
16 21 62127
44 39 62184
47 12 62808
4 15 62978
46 47 63099
49 47 63208
6 36 63783
36 50 64248
6 47 64972
21 12 65875
21 49 66275
47 2 67454
6 21 68039
43 42 68054
23 30 68235
44 7 70610
4 23 70668
14 40 71797
41 36 73069
47 41 74258
4 44 75270
7 23 75328
19 49 75546
12 19 75946
37 35 76392
49 44 76502
30 22 77141
49 23 77360
28 12 77642
45 36 78017
49 28 78042
16 42 78146
22 36 78310
40 50 78333
16 20 78718
13 9 79083
13 4 79375
22 47 79499
11 35 79638
18 36 80068
16 40 80468
34 15 80694
18 47 81257
31 39 81333
27 49 81650
12 27 82050
46 42 82185
45 21 82273
49 42 82294
20 46 82757
49 20 82866
7 13 84035
40 12 84216
21 18 84324
44 11 84398
49 40 84616
2 35 85534
22 15 85961
10 22 86181
26 11 86817
20 2 87112
17 8 87207
37 39 87253
43 38 87954
12 29 88012
40 2 88862
49 2 89836
2 1 90050
12 2 90236
9 41 90976
19 45 91544
34 42 92518
4 17 92588
42 41 93344
45 23 93358
28 2 93559
23 22 93651
7 30 93763
28 45 94040
22 28 94333
14 36 94394
6 7 95457
4 27 95500
38 36 95582
40 41 95666
7 37 95679
1 31 95995
38 47 96771
20 38 97273
37 16 97423
4 20 98594
14 15 98945
23 2 99348
38 34 99905
4 35 99999
37 4 100339
18 42 100343
40 45 100614
35 6 100623
40 22 100907
29 20 101023
37 12 101171
22 41 101302
29 46 103058
30 6 103190
3 23 103210
45 29 103610
31 26 103620
14 50 103644
45 16 103997
5 23 104014
35 7 104659
41 7 104743
7 42 105368
29 50 105396
23 21 105914
47 33 106158
44 8 106459
14 9 106694
8 43 106735
15 2 107038
40 7 107690
19 21 107919
35 34 109083
40 38 109667
41 35 109909
42 4 110028
33 45 110502
40 3 110722
33 22 110795
14 42 110895
1 5 111310
6 39 111484
33 21 111603
15 5 111704
24 30 111810
19 36 112175
4 40 112350
21 30 112406
47 19 113364
41 10 113425
2 18 113900
26 17 114543
26 28 114826
35 45 114857
42 38 115857
35 38 116464
18 35 116908
37 9 116928
22 37 117862
12 41 117993
12 16 119490
16 49 119890
11 4 122617
6 10 122711
43 17 122866
2 16 124136
9 12 124202
9 3 124604
27 19 124614
16 5 124693
6 46 125693
49 6 125802
7 31 126260
20 27 127227
11 7 127277
12 18 127333
11 16 127786
49 5 128841
41 29 128957
15 41 129148
8 15 129544
40 1 129644
2 6 130048
28 21 130350
48 30 130706
41 16 130940
11 12 131534
33 14 131534
49 11 131934
18 17 132016
42 19 132450
24 17 132570
4 49 132648
42 17 132651
38 50 132683
1 23 132761
19 2 132800
30 17 133211
24 44 133277
45 41 133591
18 16 134043
46 34 134153
22 3 134930
8 35 135245
39 28 135453
7 2 135648
22 16 136181
9 36 136547
39 17 136830
23 41 136838
11 38 138350
2 27 138904
32 13 139145
18 6 139545
28 42 139549
5 27 139805
11 10 140246
9 45 140600
9 21 140803
42 8 141217
4 9 142686
11 41 142984
29 1 143013
40 8 143539
45 18 143731
22 18 144024
1 18 145942
37 33 146899
9 28 146906
21 10 146946
50 31 147306
20 9 147635
40 27 149427
21 24 149489
23 37 149722
25 9 150135
10 36 151202
27 15 151320
37 19 151727
47 10 152391
22 7 153599
1 37 155111
17 49 156900
12 17 157300
32 29 157661
32 36 158024
37 24 158346
38 9 159151
43 10 159155
1 24 160956
32 21 162280
10 25 164103
31 30 165112
30 16 166021
27 35 166843
50 19 167911
18 31 170348
16 1 170374
9 2 171407
33 28 171746
5 33 171791
17 45 172898
27 17 173554
11 19 173578
1 34 173990
32 42 178299
8 16 178813
29 33 182116
41 1 188628
10 37 190754
31 5 191681
38 10 192153
31 23 192268
9 16 194418
32 8 199862
17 19 199864
41 32 202127
31 29 202520
46 32 203220
32 7 214151
31 17 214188
31 27 217100
19 1 219222
2 32 224289
17 32 241434
9 31 264286
31 32 287058
Case #203: 167
22 30 6627
35 13 10744
21 28 12434
2 14 15658
50 21 23220
11 41 28091
5 30 30321
41 16 44684
39 28 48321
19 1 53725
50 38 64266
29 38 74689
30 31 78290
47 5 99995
45 24 103051
28 30 108203
7 4 108442
33 29 111403
30 15 117985
25 7 121150
46 19 122624
47 22 123689
5 50 127738
22 44 132765
39 30 134952
26 22 139366
21 37 144299
26 30 145984
4 39 147567
15 12 151035
21 46 152987
39 34 154039
5 44 156459
34 22 162886
49 19 164859
46 43 165087
5 12 165941
34 4 168874
25 29 170541
30 29 173720
18 19 177213
1 34 177372
38 36 177559
38 19 178859
9 28 179045
1 37 181947
4 9 182576
9 19 187137
24 41 189473
18 5 190358
20 38 190816
8 22 191377
17 10 194988
25 9 199845
31 40 201073
24 27 202180
46 9 202311
45 9 202737
35 30 206689
33 4 206693
32 9 208807
30 13 212939
33 39 215285
31 26 216842
37 40 219023
35 4 219304
33 8 230033
44 3 233099
43 5 235256
30 14 235772
34 37 237583
18 31 238327
26 7 241811
45 47 243040
47 29 243394
1 16 243969
20 28 244296
29 43 246473
30 10 247349
29 16 248194
40 44 248921
49 39 248990
46 45 253116
46 35 256033
49 35 256440
26 32 257928
6 2 257963
33 40 259444
32 49 259627
32 12 260818
24 31 264370
20 45 265859
46 41 268184
18 28 268240
35 21 271222
6 10 271351
34 15 274244
15 45 277910
15 18 278022
25 35 279588
29 18 280049
18 40 282820
44 18 286175
40 6 294300
39 41 297688
9 36 303124
23 28 303152
24 15 304065
42 6 305671
12 18 308213
38 35 312268
24 47 316396
47 10 317023
16 32 319364
13 24 325921
43 44 331073
37 6 333685
2 15 334494
20 4 336921
33 26 340062
8 6 340391
46 14 341220
25 3 341690
46 6 342373
26 27 343945
27 12 346835
27 35 348546
20 37 353486
4 48 353487
27 18 357998
14 40 358555
29 10 360427
2 7 360511
10 21 362132
27 11 363562
48 5 371193
36 13 372123
10 9 378994
3 48 380699
3 36 382338
23 24 394002
5 42 395640
44 20 396931
27 3 410648
5 17 412016
46 23 422133
16 12 425431
45 3 433806
17 22 435710
17 44 447492
48 45 448056
37 14 454268
43 2 456365
42 49 458229
3 33 460351
3 12 468624
39 48 474814
17 1 478886
16 48 489575
7 17 490776
48 41 501073
48 27 515148
25 17 571340
38 17 602366
17 20 625155
14 23 625555
23 42 680333
Case #204: 35
8 5 1194
18 1 5279
11 7 7403
8 12 9592
13 4 22990
11 10 27040
15 12 38126
17 10 43486
5 15 46524
6 9 51930
11 18 57667
18 19 66243
16 14 67449
6 1 70305
10 4 70446
15 19 74490
10 9 82521
18 15 85362
9 14 91499
11 5 97891
16 7 101817
7 15 106252
6 19 131269
2 16 142494
1 3 153524
8 9 158818
2 9 165641
5 4 169153
12 17 176815
12 13 200541
12 16 204181
8 6 205822
15 2 205850
19 3 214488
14 4 229373
Case #205: 38
20 11 94469
2 9 114700
12 1 114932
5 9 137992
2 1 143200
13 2 159982
11 15 165112
17 12 172551
20 5 175124
18 5 186882
8 12 191611
16 15 192220
7 6 200227
18 12 210508
7 9 224063
10 12 236964
15 8 244293
16 9 245755
11 13 253276
7 20 261195
7 3 262114
15 14 308463
7 17 310182
19 3 311874
15 12 319297
9 14 361998
13 10 368678
4 20 378582
1 19 396611
11 19 399090
4 6 428801
10 3 436633
4 7 447300
10 2 449450
9 4 452637
4 16 468992
4 17 518971
19 4 526934
Case #206: 3
1 4 470266
6 2 752921
5 4 967680
Case #207: Impossible
Case #208: Impossible
Case #209: 166
21 32 8975
19 3 13136
20 39 25426
27 34 30691
19 13 40741
34 12 60745
31 22 69277
35 19 72264
31 28 73326
11 38 81376
21 20 88732
5 38 90639
35 21 95754
3 1 100620
31 32 107540
21 12 108429
14 8 111386
38 33 113472
32 2 115036
13 22 118639
32 5 118710
36 1 118890
7 12 118928
33 31 119101
31 40 120581
2 36 124417
36 19 126874
40 33 128708
28 5 134974
7 11 136483
3 36 136526
1 22 140157
30 38 141343
11 28 144237
16 34 144547
8 1 148186
14 21 159038
40 3 160626
28 1 162485
10 21 164937
17 35 166592
13 14 168223
33 7 168579
10 1 168865
18 31 169766
24 16 170708
10 36 174705
34 3 177262
22 35 180382
36 38 182018
37 40 182902
34 6 183840
36 22 186198
13 11 186775
9 37 189999
27 21 192362
2 20 192489
11 4 193013
35 31 194319
11 3 195164
18 19 198699
27 1 203793
8 16 203919
8 10 204001
25 14 204332
20 11 207730
33 19 209204
13 2 210550
8 38 211314
31 3 214213
12 1 217137
39 38 217606
28 16 218218
30 11 219288
31 15 219672
9 33 220848
30 37 223966
10 13 226902
10 2 227893
40 15 229279
9 32 229308
33 35 230206
42 38 231895
5 14 232061
6 28 233057
27 8 238929
35 24 243210
6 19 245773
14 29 246787
24 41 247969
9 35 248392
19 15 248605
29 5 249389
41 12 250467
6 41 251114
11 6 253666
36 9 256639
25 41 257296
5 6 262929
30 32 263275
16 4 266994
13 15 269034
36 42 272209
4 22 274909
41 3 275064
1 29 276900
16 20 281711
24 31 282733
39 9 283639
24 1 284702
29 19 284884
27 26 285078
10 29 286641
18 36 286687
22 25 287935
30 36 290606
29 34 290878
12 24 292597
26 32 293096
1 41 297234
13 9 300248
2 40 303313
33 20 306398
3 26 310159
24 10 311018
15 38 313691
2 6 319320
33 2 321372
40 41 323125
18 37 333728
14 33 336686
33 25 337759
40 25 339239
25 39 340112
40 24 344708
8 26 349723
18 20 357063
13 42 358342
2 42 359914
6 4 360154
30 18 360234
27 25 361188
24 33 361816
1 25 365288
22 42 368583
7 24 373438
15 37 383634
41 42 395891
29 18 407985
23 21 412027
25 37 416196
24 6 416719
5 23 419911
24 9 422451
2 25 423284
23 36 430383
4 14 434337
24 42 438021
23 38 443433
8 23 459679
27 23 485674
23 33 493754
24 23 507375
31 23 510592
23 4 540196
23 6 594825
Case #210: 86
4 10 6503
19 9 9683
5 18 39354
7 8 42483
12 10 55561
9 6 60314
20 14 73445
9 22 74562
18 22 81170
2 16 81280
8 15 95951
17 5 104943
16 6 106613
8 1 109097
14 1 110089
4 19 110290
12 6 113324
2 19 117896
5 8 122229
14 23 126288
13 16 133173
1 12 143492
19 18 146049
23 11 147834
12 2 158580
19 12 159348
23 12 159691
4 6 162382
22 8 164045
7 23 167779
14 11 168436
6 11 171078
16 20 172904
4 22 175169
5 16 179871
22 2 182775
15 17 189808
13 12 193519
19 11 198318
17 1 202954
13 4 206847
18 11 214609
18 2 221797
22 12 224227
16 23 225747
4 20 229194
11 16 234934
6 5 237483
17 20 239598
14 18 239976
11 8 240732
19 1 246164
4 14 246365
21 17 260595
23 19 262363
14 5 263810
21 9 265048
20 6 266069
20 5 267970
19 7 271407
7 21 274513
11 12 275127
22 23 281273
21 16 289672
5 4 292742
17 11 299789
8 4 301647
21 12 318058
16 15 319343
10 3 323048
3 17 323567
19 15 324875
13 23 326651
15 21 327981
12 5 341800
7 2 347155
11 21 363764
3 12 365603
17 13 386903
21 14 389131
3 14 390318
13 15 421432
3 19 426835
3 11 437886
7 3 459907
3 13 523392
Case #211: 113
23 15 66
7 16 20160
2 26 24203
26 18 25504
11 13 26242
17 6 29652
14 5 37753
5 15 39701
7 14 40166
15 11 41264
17 5 46003
22 7 46078
16 24 47278
17 7 48416
22 5 48491
6 11 54635
4 26 57048
6 5 59155
23 16 59543
6 7 61568
1 17 63663
4 12 67779
24 5 69851
14 1 71913
20 26 74867
13 26 77710
10 25 77742
7 11 83378
20 21 86163
20 22 91296
12 15 95801
1 23 99435
12 2 100624
11 9 101193
14 13 102279
15 8 106973
26 25 107411
9 5 113732
9 7 116145
29 28 118109
15 28 132264
25 9 134774
25 4 137716
12 7 137915
1 11 140633
18 10 145794
7 8 149087
6 8 149603
27 14 153908
11 25 155212
29 20 155235
12 16 155278
5 29 162861
12 29 163512
9 29 163905
16 18 164067
27 8 165573
11 20 168060
27 26 170332
14 8 171005
19 25 171737
28 7 174378
18 14 174401
6 28 174894
27 6 175310
1 25 176917
22 28 180512
27 21 181628
3 7 181730
10 2 182613
17 18 182651
3 5 184143
2 5 185339
26 24 185841
18 5 186640
22 27 186761
24 29 189220
28 27 190864
1 12 195170
14 28 196296
29 15 199791
9 3 201400
2 1 205565
8 1 206342
22 29 206526
17 21 213456
21 14 221706
12 10 223575
14 19 230489
25 14 231249
28 1 231633
21 25 233195
1 20 235956
4 1 238410
17 19 238739
19 22 242383
27 12 244241
16 25 245974
8 20 248053
15 21 249162
29 27 250700
19 20 252163
25 24 262597
19 11 266914
2 19 276608
2 3 283632
8 10 286892
28 21 286903
19 28 304918
9 21 309477
19 12 334220
19 29 356753
3 19 378035
Case #212: 133
21 11 1338
5 19 1731
33 2 4618
7 44 5083
44 42 5226
21 44 6255
16 12 6662
7 18 9324
17 41 9879
18 31 12594
1 27 13583
39 20 13767
16 38 14496
14 11 14691
23 7 15497
10 18 16589
12 11 17811
21 5 18278
14 25 18914
34 6 23540
44 1 24314
14 7 24691
42 14 24834
11 38 25645
29 2 26165
42 36 27822
32 4 27949
34 2 29158
9 40 29604
44 16 29613
8 20 31074
13 8 31902
21 25 32267
14 19 33362
17 26 33481
24 13 34454
33 41 35077
15 42 37968
29 18 38457
16 37 39116
9 14 39510
18 25 41003
17 16 41968
25 42 41988
35 40 42577
4 5 43279
1 14 43922
7 35 45752
10 22 46771
23 25 47176
43 23 50615
14 35 52483
21 9 52863
38 6 54940
26 8 54992
30 21 55567
15 1 57056
26 24 57544
8 11 58100
35 23 58673
9 7 58725
25 1 61076
17 27 61199
44 32 62210
12 6 62774
44 8 63017
35 31 63162
9 37 63933
41 13 66450
13 31 66607
19 9 67534
34 22 68207
14 30 68920
3 6 69108
14 8 70115
9 23 71646
36 4 72574
36 41 75927
31 9 76135
19 8 76771
35 37 76906
4 27 77423
12 2 77535
4 30 80568
1 4 81308
24 3 81374
32 14 81818
29 36 84307
2 38 85369
20 21 87836
32 17 88068
13 21 88664
27 29 89156
31 26 89697
4 2 89830
42 13 90271
42 28 92730
26 3 93742
41 3 96987
18 40 97074
8 33 97677
13 16 98539
32 25 98972
26 36 99529
31 6 102709
6 8 106548
30 9 106554
36 39 107709
33 3 108460
18 24 110038
28 1 111818
30 8 112329
39 27 112558
20 1 112742
35 2 114425
24 25 117172
13 27 117770
41 35 118128
4 8 118319
34 25 119379
9 2 127398
3 16 131220
39 17 132997
39 30 137164
24 5 137968
1 24 143813
32 13 144639
27 3 150451
36 3 155300
28 33 158925
3 32 177320
3 35 199457
43 3 207504
Case #213: 41
2 12 2637
8 18 9044
8 4 11223
8 15 17980
6 12 19238
4 15 21734
17 5 38034
14 12 41958
11 7 44768
11 15 51449
5 4 61659
1 6 62188
3 5 65396
5 15 68416
5 12 77835
17 8 88470
5 14 97378
5 1 99510
3 18 106788
12 18 119227
17 6 123664
8 9 132014
14 18 138770
18 1 140902
7 1 155533
1 16 155628
3 7 159712
9 1 177328
6 11 196374
6 9 236332
16 4 239922
15 16 246679
13 5 312435
8 13 322010
10 13 329520
13 17 331538
10 7 333616
17 10 357462
10 8 381978
13 1 393014
10 1 418938
Case #214: 74
26 24 7029
22 27 10742
6 19 12517
25 6 18035
6 21 18046
5 21 21526
14 19 24709
16 25 27157
21 16 27168
27 24 27336
16 7 27826
13 24 31294
1 19 31496
1 22 32169
23 14 34201
4 5 34899
7 6 36948
23 12 37833
12 7 46232
16 14 46348
2 15 49679
1 16 53135
14 17 54850
26 12 60165
2 10 62608
17 10 64940
18 10 76505
7 4 83123
5 15 83935
13 12 84430
3 27 90149
5 26 102654
20 11 105214
10 4 107848
6 10 112521
4 12 114287
10 16 121643
7 3 122192
16 13 125057
13 5 126919
27 18 128363
15 25 132060
13 6 134179
14 13 140846
15 7 142686
1 11 146319
20 27 147205
26 20 147936
18 5 149454
18 19 162708
20 13 172201
20 25 173703
4 9 174990
24 17 175181
15 26 175442
18 7 179119
24 10 182632
18 16 184347
23 15 185946
1 20 189478
2 12 197792
15 13 199707
13 10 199868
10 20 211394
4 11 214065
21 9 215660
24 8 219059
8 13 224201
20 23 235505
15 3 235755
8 22 243634
11 10 300220
11 9 370649
11 8 416162
Case #215: 111
3 19 3819
3 14 17020
25 27 22524
28 27 30877
2 4 37521
2 13 38096
21 29 40268
7 2 42194
9 24 43617
8 26 44621
8 27 50914
9 4 55909
17 27 57209
17 8 60916
23 16 62102
14 23 63653
30 16 65139
18 9 68499
16 8 69479
29 10 69697
25 9 71208
16 17 73030
2 27 75344
4 14 76715
14 12 78806
5 16 86085
14 5 87636
9 3 88877
16 26 89325
21 12 89874
25 13 90916
7 25 95014
8 14 96487
3 20 97546
18 25 97587
27 29 98427
21 3 104879
15 18 105289
3 2 107265
21 8 108316
7 19 108864
29 26 112669
30 20 113977
25 3 117965
8 20 118317
5 8 120573
15 19 121848
20 17 121868
1 17 121898
13 18 124983
17 29 125194
16 28 127394
11 5 130191
6 29 133003
18 8 133885
27 19 136670
28 10 137247
16 29 137527
1 16 141313
19 29 141328
19 13 141542
27 11 147949
5 24 149916
9 21 153000
23 15 153134
11 23 154174
27 22 157733
16 21 157956
20 12 159332
2 12 169051
17 12 174800
7 21 176806
17 6 177661
25 12 179751
3 6 179805
13 23 181270
12 6 182609
13 26 186944
22 6 190994
26 12 191095
15 2 192176
24 17 194309
10 18 194466
16 22 195086
21 22 197036
8 6 201051
1 18 202761
29 15 203057
26 24 203388
1 29 206143
14 1 207041
20 15 215575
4 11 215766
26 11 221453
18 11 223012
30 18 224263
24 1 227643
15 28 235885
11 10 244722
6 20 246671
6 5 247171
30 24 249145
12 1 251807
22 15 261048
2 6 262230
11 22 263415
10 30 265755
7 6 267648
30 7 270701
5 22 270955
7 1 295066
Case #216: 131
32 21 6336
6 20 21751
30 41 33280
6 25 51050
34 49 51103
20 42 55520
20 43 61653
22 36 63336
34 27 64528
33 31 69369
49 42 78654
5 38 80945
8 41 83398
6 34 84950
8 14 89984
14 20 93645
4 28 97047
33 2 100543
16 27 106202
34 41 109414
44 36 122360
23 38 126411
21 11 126650
45 5 130106
25 9 130815
9 37 134219
37 2 135429
43 37 137858
16 37 140234
17 31 141737
30 28 141918
20 9 142360
7 25 143322
41 9 145073
34 36 147576
43 28 148712
41 23 148878
48 46 151761
40 42 152568
6 40 157935
23 44 158311
42 19 170257
43 36 171867
2 17 172911
28 48 174629
34 28 175431
37 26 176131
16 30 178942
38 25 180245
17 32 183705
40 11 189291
22 26 192215
5 36 198458
22 42 202352
31 36 203595
33 26 204209
47 16 208467
16 43 210028
48 22 214810
39 42 217394
45 24 218805
17 45 220216
14 13 224848
27 5 225923
19 30 227942
10 6 229430
6 18 233814
25 11 235613
14 22 240477
25 10 241344
37 10 244748
17 13 244890
4 25 256581
16 21 257376
23 28 257516
19 16 261404
10 44 263327
4 8 264465
20 29 266133
1 14 269798
5 4 272350
5 43 273830
10 49 274315
39 30 275079
40 21 278237
31 10 279231
16 18 279585
31 18 281907
7 13 286070
44 3 286370
9 22 289192
49 29 289311
8 15 291445
24 40 293105
9 45 294208
44 15 297376
34 3 298287
48 11 298929
31 3 302274
24 27 302514
43 29 303494
9 26 303542
47 39 304604
17 3 305273
6 48 307731
2 10 310405
34 15 317461
48 42 320553
31 15 321448
4 23 329945
39 40 339852
48 5 349932
46 22 356114
14 48 356970
48 38 365655
37 35 375465
36 29 376347
29 19 380914
28 35 392547
14 35 392905
24 7 415208
15 26 418076
29 39 428051
3 24 448277
25 12 450652
12 2 451555
46 24 469623
12 47 476150
12 49 483623
35 26 544788
35 12 697254
Case #217: 11
2 4 438458
1 3 511516
7 12 668490
8 10 680435
5 9 714502
6 8 751976
7 8 771981
5 11 867746
5 7 934428
9 12 980440
6 4 990152
Case #218: 50
9 1 38500
50 27 47300
15 19 64000
4 19 76590
48 21 107308
49 36 109413
46 17 230704
39 37 258877
4 50 326740
12 40 409255
44 4 426525
34 4 546818
13 15 563769
7 48 577736
27 7 585131
33 19 592628
39 14 594385
33 6 641143
30 47 663735
48 13 706151
1 11 709744
18 46 717096
29 21 719034
22 48 726290
20 1 752705
48 45 753260
24 25 771409
19 43 778348
25 27 780188
46 44 782887
7 47 807046
39 17 823608
41 8 831282
15 23 840983
23 31 849702
26 4 862296
6 22 882402
17 28 883223
41 25 887513
10 4 893818
15 10 906408
28 25 906934
18 32 944403
46 5 947454
11 17 953934
32 2 962967
17 24 964393
31 32 967775
7 18 975443
42 44 978610
Case #219: Impossible
Case #220: Impossible
Case #221: 72
15 12 10795
12 14 14849
5 19 18879
16 4 20183
14 2 24287
6 11 33501
19 11 34921
6 19 36338
19 1 41038
18 7 50539
17 11 52661
17 19 55498
6 3 56966
4 10 62992
3 5 74425
17 3 76126
16 1 86985
18 13 89328
11 13 93020
8 14 97333
17 16 101445
19 16 118623
20 6 127131
14 13 131100
20 9 131680
1 20 131831
9 5 133220
11 4 135969
13 12 137841
3 4 138653
17 20 146291
9 12 149658
9 6 150679
9 1 155379
18 5 158610
6 7 165310
7 15 165835
12 7 166181
9 17 169839
7 14 169889
19 15 174117
14 18 179095
1 18 180769
5 15 181318
7 17 184470
16 7 185599
11 14 193306
18 17 195229
15 11 197360
6 15 198777
1 14 199423
5 2 201551
13 16 208806
14 17 213883
4 20 219142
8 3 228774
9 16 232964
13 10 242613
14 3 251689
7 20 257523
20 12 260467
18 20 268282
2 20 269905
8 11 273999
6 8 275416
16 2 276389
14 16 277008
8 1 280116
7 9 281071
15 10 301139
4 15 301245
10 14 305193
Case #222: 36
3 29 42167
18 5 88089
21 17 178636
16 25 288461
29 10 376228
33 7 413891
36 43 447399
46 33 486034
16 5 492934
21 28 532332
6 38 544821
29 36 563027
38 12 576738
17 23 583044
39 20 586043
3 36 605183
31 6 606932
45 48 618793
12 16 622821
27 24 625358
15 32 655353
16 24 695849
42 11 745058
34 44 749312
16 10 749598
5 3 803429
9 48 855082
33 48 860598
41 46 883196
9 10 885897
28 19 887384
1 28 899252
14 28 900735
19 26 911161
30 13 945287
12 9 964616
Case #223: 12
6 7 139666
5 1 210635
2 6 212662
7 5 396101
5 3 438118
5 2 480853
5 6 523871
4 6 557209
4 7 677859
1 6 689132
7 3 776949
3 2 883329
Case #224: 132
8 16 15509
16 24 17144
11 24 26959
7 30 33145
30 26 38467
28 13 38851
23 11 43548
15 9 45558
30 13 49698
27 29 54728
24 20 55568
8 6 58515
28 5 59088
27 20 64394
3 24 66418
12 26 68755
24 2 75576
18 27 84658
14 24 87777
11 19 91677
2 23 92165
31 7 93939
5 25 97738
31 26 99261
6 27 99994
20 9 101473
18 8 102013
31 27 102640
19 29 103543
25 28 104675
24 17 107060
25 24 110965
15 2 117414
5 30 117719
21 20 118424
30 8 118815
27 25 119791
11 1 122212
2 14 122664
13 20 123246
18 20 124928
29 5 127260
13 11 129321
29 28 129613
25 15 131228
25 31 132430
12 18 134885
10 29 136780
5 20 136926
19 2 140294
5 19 141025
20 30 141730
24 31 145184
11 28 145980
31 6 147750
11 22 149187
27 19 151715
1 6 152133
10 6 154574
20 12 154837
22 8 154881
11 18 158734
26 27 159198
12 11 159505
3 1 161671
4 10 161696
31 23 161773
7 18 163371
17 18 164972
12 28 165328
5 11 166055
21 11 166835
8 12 168468
25 29 169257
25 10 174371
14 19 175056
2 13 177938
19 21 179258
18 25 180325
9 5 183408
7 11 187991
3 22 188646
15 23 191083
28 2 194597
17 21 195375
27 14 196285
3 21 198290
13 18 198394
25 19 201370
26 25 202297
5 3 205514
15 3 205853
13 10 209798
30 1 212433
13 3 216286
12 14 216736
22 1 217481
13 9 218461
9 10 220447
15 28 225168
14 5 226873
4 3 227389
17 5 233608
1 29 234250
1 5 234349
21 1 234957
10 18 235950
7 2 236608
14 13 237645
15 19 239212
27 22 242190
31 17 243985
10 21 245538
4 23 246890
4 14 248748
17 13 255081
1 28 255812
4 5 258923
10 11 260570
5 22 261324
15 1 263564
10 23 277352
9 22 279269
13 4 280396
15 17 281554
21 22 296220
2 10 309187
14 10 317801
4 2 328694
7 4 343497
10 22 345799
1 4 354056
Case #225: 7
12 33 188993
31 13 354584
27 31 390100
32 34 403754
22 37 513026
44 45 606555
22 16 805035
Case #226: 8
8 3 200151
1 2 273153
7 8 342945
1 5 486537
7 5 504675
6 4 593010
6 3 632458
7 6 775255
Case #227: Impossible
Case #228: 24
3 11 36895
8 3 56645
11 5 64573
12 2 75455
6 2 89268
6 10 103118
10 9 105738
10 11 144882
5 10 150761
8 10 152997
11 2 158732
2 5 164611
2 8 166847
12 9 167343
3 7 187151
7 10 189065
7 2 202915
9 3 213725
2 4 230658
9 4 322546
3 4 326919
1 11 343591
4 7 394957
9 1 492392
Case #229: 70
13 15 1179
8 11 2190
19 18 4709
23 19 6459
26 4 8936
26 3 10638
15 16 13626
14 8 14799
4 3 16384
16 22 21361
4 28 22051
25 28 23749
3 18 29908
8 16 29948
8 19 32654
23 16 33974
23 17 34325
2 8 37751
29 11 39009
27 24 40195
25 17 42100
4 7 45472
13 29 45812
30 12 49476
28 12 57596
26 8 59533
2 19 66417
21 3 68047
10 9 68562
14 10 69491
24 8 69841
27 4 73885
2 29 74570
21 14 75586
29 9 78189
28 15 82388
14 30 86338
2 1 97031
28 24 100500
24 13 101109
1 3 102747
23 27 104552
10 24 111797
3 6 111881
30 29 118942
2 10 121634
27 17 123476
4 30 124422
1 11 132592
1 8 134479
27 2 140785
4 10 142136
2 12 152426
10 28 153630
9 25 164630
7 9 168732
6 16 176976
3 5 180502
20 6 180789
5 1 193063
30 1 199981
10 12 204491
5 11 210387
5 2 245948
5 27 260294
17 20 294996
20 21 338985
20 9 378013
20 30 403689
5 20 419435
Case #230: 28
1 2 8381
5 6 51328
9 11 65271
12 4 91864
2 12 108432
11 7 109043
6 8 115918
3 1 140885
6 11 207590
9 2 222101
3 12 240936
10 8 248716
8 9 249468
12 11 265262
3 11 275456
7 12 279793
2 10 321229
9 12 323565
5 10 327108
2 8 341027
4 6 341320
6 2 364420
8 4 406997
5 1 409974
11 10 432913
3 8 441583
3 10 453733
10 4 457285
Case #231: 50
17 3 32422
3 1 36579
9 13 68430
2 10 71198
9 3 75311
3 5 111224
6 10 112611
2 11 119781
8 11 121236
10 7 141066
14 10 149172
16 11 164897
17 14 167925
8 6 185264
16 6 197540
4 6 198345
3 4 208155
8 7 213719
2 15 218994
9 10 226088
11 17 230874
4 15 233530
4 14 234906
14 9 241631
8 4 255553
3 6 262480
10 1 283614
6 13 296883
7 5 298414
16 12 301502
5 11 309676
7 17 323357
13 7 325338
5 6 326869
1 7 327514
8 5 334109
16 9 348001
1 8 353509
5 10 358259
13 15 373003
8 9 392241
8 13 395026
15 5 408889
6 12 470294
7 12 498749
12 2 532025
12 17 541770
15 12 550521
12 14 566988
4 12 600716
Case #232: 85
7 14 1652
24 10 7861
6 12 8057
2 6 20592
24 25 24617
11 24 24653
25 11 33548
13 22 44708
4 26 46539
14 26 46753
23 1 47860
13 19 51072
26 13 58937
19 7 65694
15 10 69120
16 3 71948
13 24 74921
17 10 75288
26 9 75291
4 13 77018
15 14 83308
13 11 83852
1 15 84925
25 15 85876
21 19 88921
9 25 89011
17 1 91093
7 4 91640
9 19 95884
15 23 101175
19 25 101376
16 7 102278
9 10 105767
17 13 108836
25 26 109241
10 7 112312
4 21 114867
2 20 124290
